frequency,Rmax,R_ratio,time
7.5,0.17569181190639657,0.7417189097125996,11:23:01
10.0,0.2513497403823542,0.7079182891859632,11:23:21
10.0,0.24047349964579884,0.7440830956775779,11:23:31
10.0,0.2306058299322601,0.7329670077361132,11:23:41
8.571428571428571,0.2299807205151593,0.7419514278212854,11:24:01
10.0,0.27766617839319035,0.6596697978977469,11:24:11
6.666666666666667,0.2760760373344745,0.6591358717032522,11:24:41
8.571428571428571,0.2501781641540038,0.6804023000409816,11:25:11
10.0,0.28057890092968424,0.642089274949159,11:25:31
6.666666666666667,0.2247087702472148,0.7157101045694185,11:26:16
