ch1,ch2,ch3,ch4,f
30.533120493113746,7.0199077181652845,0.007010143121287149,3.8078780844868167,0.0
122.13409820920516,28.0801016506488,0.029213169452903545,15.233293948940336,0.025
122.13914043573384,28.081565045735214,0.03272971095632637,15.238773247347288,0.05
122.14771468083997,28.084009461364673,0.0385944200312058,15.247875905279273,0.075
122.1596045894587,28.087374131051117,0.046809642431670316,15.260631752111783,0.1
122.17497504641582,28.09176200094581,0.05738334262574505,15.277051587145952,0.125
122.19353851942111,28.097121674945566,0.07031974454442763,15.297113983591686,0.15
122.21553897951604,28.103452692781413,0.08562987892062981,15.320894042603886,0.175
122.24079586512738,28.110802847662466,0.10332487301646319,15.348285759559522,0.199
122.26914225326658,28.11904976722317,0.12341384145618499,15.37937009885049,0.224
122.30079354512561,28.128424836429847,0.14592143905368204,15.414222203185496,0.249
122.33519433455824,28.13883839233838,0.17084510861738966,15.452727428845867,0.274
122.37294586169321,28.150033404744843,0.19824035517690375,15.494958989139384,0.299
122.41408342330136,28.162519838379776,0.22804277777310067,15.541139010877862,0.324
122.45606307505237,28.174709612554118,0.26053417275439206,15.590547812309644,0.349
122.51289782404871,28.19359248662123,0.2948250677642003,15.647779343591045,0.374
122.56590514332936,28.209084756266115,0.3323362746420613,15.705295332288452,0.399
122.61769308223546,28.223287480513406,0.3724529263764167,15.766925953592661,0.424
122.68163706482684,28.23922587998161,0.4152049597928354,15.833336349210066,0.449
122.75059493230412,28.256236250823513,0.4603076469323669,15.90657823196566,0.474
122.82933462798066,28.277732564293526,0.5083634306633936,15.98273847646825,0.499
122.91570285137132,28.291689788699824,0.5595123823511888,16.061103478628965,0.524
123.0095865033117,28.30915458502874,0.6119250714022997,16.151270187346164,0.549
123.14327220944888,28.325430536935055,0.6683209958115238,16.24658172186041,0.573
123.2388933051366,28.329099445589943,0.7251849333400842,16.34451277243127,0.598
123.37686231689487,28.34917873780061,0.7887758230216187,16.444352468681945,0.623
123.55180510494039,28.375829553931677,0.8562258401539711,16.564290619722406,0.648
123.66452869498096,28.363238515545614,0.9243704783293639,16.653413999348295,0.673
124.04293725744344,28.445735993442337,0.9890866005651618,16.835678560554012,0.698
123.78533992404962,28.269062331125834,1.0739447231501675,16.83142828588548,0.723
124.48287326269126,28.522150750012646,1.1348770979414382,17.107708211036748,0.748
124.95150288251293,28.648479797608985,1.216514327414378,17.342306775505843,0.773
124.94173786664403,28.540087022770724,1.2980503699498864,17.41703655036556,0.798
125.02351000445594,28.508856716426116,1.3974370245926095,17.530774272001736,0.823
