frequency,Rmax,R_ratio,time
7.5,0.3269547589476027,0.9332426224944839,17:10:40
10.0,0.34351312061013956,0.8571669376242138,17:10:42
6.666666666666667,0.3109415080588183,0.9112851192514322,17:10:44
7.5,0.36875666482237546,0.9577297500562828,17:10:46
10.0,0.3095037456251916,0.9399066058032793,17:10:48
6.666666666666667,0.3723600108560496,0.7936916317182382,17:10:50
8.571428571428571,0.3650413071179539,0.8939579515901441,17:10:52
6.666666666666667,0.3496670190351601,0.9538376875457707,17:10:54
6.666666666666667,0.3772787625856231,0.7212759352844628,17:10:56
7.5,0.32234399473896685,0.9453036845831365,17:10:58
8.571428571428571,0.32467245293619473,0.9697793086684494,17:11:00
6.666666666666667,0.35362957173877596,0.8645218525163959,17:11:03
10.0,0.36413773294343155,0.7323352618761072,17:11:05
6.666666666666667,0.36578547319809807,0.9082481067165924,17:11:07
8.571428571428571,0.33519889668449826,0.9669135156056436,17:11:09
6.666666666666667,0.29642950039095184,0.9253922774712685,17:11:11
8.571428571428571,0.40116546324637414,0.6543317250818426,17:11:13
8.571428571428571,0.3453976464552603,0.952014425901441,17:11:15
7.5,0.32823768536278314,0.8023661438939416,17:11:17
8.571428571428571,0.297347213414773,0.9387855073290899,17:11:19
8.571428571428571,0.2682023538823294,0.9464985937766937,17:11:21
6.666666666666667,0.3575711629318043,0.9818880010299763,17:11:23
10.0,0.33574931685992404,0.9066698857932556,17:11:25
10.0,0.2932666760748625,0.9461657295948614,17:11:27
10.0,0.3091069685528968,0.9612016288796215,17:11:29
8.571428571428571,0.34591853387994737,0.9310932922778712,17:11:31
8.571428571428571,0.34165110126765114,0.9046090637149932,17:11:33
6.666666666666667,0.32271718193991655,0.8906226098750099,17:11:35
6.666666666666667,0.29150480148997177,0.9666475839361729,17:11:37
7.5,0.38656358015392045,0.861020903994016,17:11:39
7.5,0.2979019122792502,0.9435427509482603,17:11:41
10.0,0.35061269362858666,0.9338655290792801,17:11:43
7.5,0.32420186790023536,0.8802191113412293,17:11:45
7.5,0.3129650815496027,0.9920168937079139,17:11:47
7.5,0.3110300487855852,0.9413851380760672,17:11:49
7.5,0.34287284472642504,0.980744808413444,17:11:51
