Possible frequencies: [30.0, 20.0, 15.0, 12.0, 10.0, 8.571428571428571, 7.5, 6.666666666666667, 6.0]
Target frequencies: [7.5, 8.57, 10, 12]
Recording time: 120.50 s
	Recording started at: 20:36:29
	Recording ended at: 20:38:32

Iteration duration: 2 s

Iteration: 44, f: 10.0 Hz, R_max: 0.39736730983613966, R_sec: 0.37683225135542564, R_sec/R_max = 0.9483222248725444
Iteration: 45, f: 10.0 Hz, R_max: 0.4476401354550973, R_sec: 0.3598123200239412, R_sec/R_max = 0.8037981662616889
Iteration: 46, f: 10.0 Hz, R_max: 0.3900947692395274, R_sec: 0.3220315803397501, R_sec/R_max = 0.8255214007804732
Iteration: 47, f: 12.0 Hz, R_max: 0.4670939240748251, R_sec: 0.2890100756508835, R_sec/R_max = 0.6187408158291225
Iteration: 48, f: 12.0 Hz, R_max: 0.4994406219413551, R_sec: 0.3297398782049681, R_sec/R_max = 0.660218379761041
Iteration: 49, f: 7.5 Hz, R_max: 0.4193777911454861, R_sec: 0.374706942927347, R_sec/R_max = 0.8934830380594895
Iteration: 50, f: 12.0 Hz, R_max: 0.4401942459616607, R_sec: 0.33445206369889446, R_sec/R_max = 0.7597829066762132
Iteration: 51, f: 12.0 Hz, R_max: 0.5348126244902871, R_sec: 0.29134258492381504, R_sec/R_max = 0.5447563718255237
Iteration: 52, f: 6.0 Hz, R_max: 0.5138337906681875, R_sec: 0.3435893161481459, R_sec/R_max = 0.6686779312457122
Iteration: 53, f: 12.0 Hz, R_max: 0.359296817103181, R_sec: 0.27984615420751335, R_sec/R_max = 0.7788717875759767
Iteration: 54, f: 12.0 Hz, R_max: 0.3956853827776342, R_sec: 0.30181159694884013, R_sec/R_max = 0.7627564981809073
Iteration: 55, f: 12.0 Hz, R_max: 0.3031479235650657, R_sec: 0.29795542039493833, R_sec/R_max = 0.9828713879710514
Iteration: 56, f: 12.0 Hz, R_max: 0.3624983077532286, R_sec: 0.35007862238519616, R_sec/R_max = 0.9657386390435588
Iteration: 57, f: 6.0 Hz, R_max: 0.362813037778466, R_sec: 0.3298883099556495, R_sec/R_max = 0.9092515306935568
Iteration: 58, f: 12.0 Hz, R_max: 0.41369974174602137, R_sec: 0.29960339880810877, R_sec/R_max = 0.7242049452185575
Iteration: 59, f: 12.0 Hz, R_max: 0.5374522432689981, R_sec: 0.2677951664315124, R_sec/R_max = 0.49826783641775463
