ch1,ch2,ch3,ch4,f
1.2627204200401658e+158,5.988898678752e+154,1.893073948142739e+157,1.2816505777747781e+157,0.0
5.048814113056832e+158,2.3945871075020037e+155,7.569199542158095e+157,5.124539720628767e+157,0.003
5.042621533318835e+158,2.391674753975808e+155,7.559925961222501e+157,5.1183618804149596e+157,0.006
5.032334182549727e+158,2.386836568717717e+155,7.544520374375625e+157,5.10809846384222e+157,0.009
5.018002055817658e+158,2.3800959573054556e+155,7.523057705909676e+157,5.093798528584487e+157,0.012
4.99969429990607e+158,2.3714852914871947e+155,7.495641569476816e+157,5.075529929087747e+157,0.015
4.977498389815799e+158,2.3610455237790807e+155,7.462403022625097e+157,5.0533785125604553e+157,0.018
4.9515191016515e+158,2.3488257067458925e+155,7.423499013912835e+157,5.027447116185041e+157,0.021
4.921877304083441e+158,2.3348824273387534e+155,7.379110556514078e+157,4.9978543872275175e+157,0.024
4.888708593873646e+158,2.31927916821045e+155,7.329440667247066e+157,4.964733450942041e+157,0.027
4.852161803406409e+158,2.302085609081437e+155,7.274712113672579e+157,4.928230453558958e+157,0.031
4.812397409721444e+158,2.283376881966137e+155,7.215165014250565e+157,4.888503009163784e+157,0.034
4.769585875207875e+158,2.2632327943865053e+155,7.151054337503808e+157,4.8457185799151686e+157,0.037
4.723905949911524e+158,2.2417370346123704e+155,7.0826473457686e+157,4.800052818844617e+157,0.04
4.675542964403102e+158,2.2189763725059514e+155,7.010221027518137e+157,4.751687903494212e+157,0.043
4.624687140444564e+158,2.1950398687543e+155,6.934059559570817e+157,4.7008108869732226e+157,0.046
4.571531944390046e+158,2.170018104200954e+155,6.854451836920802e+157,4.6476120907621954e+157,0.049
4.516272505493775e+158,2.1440024396960297e+155,6.771689103650137e+157,4.5922835608890243e+157,0.052
4.459104118203599e+158,2.1170843154341843e+155,6.686062713606265e+157,4.535017606075779e+157,0.055
4.400220844226999e+158,2.08935459720416e+155,6.597862044459785e+157,4.476005433236936e+157,0.058
4.3398142267914666e+158,2.0609029753902805e+155,6.507372583587171e+157,4.4154358924206526e+157,0.061
4.278072126195176e+158,2.031817420998657e+155,6.414874199124914e+157,4.3534943400352674e+157,0.064
4.215177682554374e+158,2.0021837014749595e+155,6.320639604663787e+157,4.290361626087533e+157,0.067
4.151308408679609e+158,1.9720849576744096e+155,6.224933021516355e+157,4.2262132082550197e+157,0.07
4.086635413315171e+158,1.9416013420675772e+155,6.12800903838921e+157,4.1612183929815634e+157,0.073
4.0213227525965117e+158,1.9108097171382262e+155,6.030111664687633e+157,4.095539701462749e+157,0.076
3.955526905544694e+158,1.8797834119646435e+155,5.931473570611046e+157,4.0293323564025565e+157,0.079
3.8893963677338536e+158,1.848592034178505e+155,5.832315504675623e+157,3.9627438837812547e+157,0.082
3.8230713559338956e+158,1.8173013338643012e+155,5.732845877317493e+157,3.8959138225743894e+157,0.085
3.756683615530935e+158,1.7859731154909597e+155,5.633260497762087e+157,3.8289735343886613e+157,0.089
3.6903563218392304e+158,1.7546651936447104e+155,5.533742450353975e+157,3.762046104309555e+157,0.092
3.624204066011391e+158,1.7234313881447168e+155,5.434462095981259e+157,3.695246323859141e+157,0.095
3.558332916094816e+158,1.69232155405464e+155,5.335577184046429e+157,3.628680746808002e+157,0.098
3.492840543837125e+158,1.6613816421371827e+155,5.237233060576901e+157,3.562447808638714e+157,0.101
3.4278164080759694e+158,1.6306537854177819e+155,5.13956295847809e+157,3.4966380006850664e+157,0.104
3.3633419859247076e+158,1.600176407711126e+155,5.042688356556838e+157,3.43133409033821e+157,0.107
3.299491043452719e+158,1.5699843502043575e+155,4.9467193947330054e+157,3.3666113791866215e+157,0.11
3.2363299381275524e+158,1.5401090124691124e+155,4.8517553337670037e+157,3.302537991512592e+157,0.113
3.1739179459091483e+158,1.51057850457801e+155,4.7578850488199474e+157,3.2391751861783365e+157,0.116
3.1123076065406116e+158,1.481417807318485e+155,4.665187547195964e+157,3.176577685577317e+157,0.119
3.0515450812456454e+158,1.4526489378183295e+155,4.573732501662623e+157,3.114794015982095e+157,0.122
2.991670517702979e+158,1.4242911182150678e+155,4.483580791780863e+157,3.053866854272963e+157,0.125
2.932718417809931e+158,1.3963609453088896e+155,4.3947850466796907e+157,2.993833376669037e+157,0.128
2.874718004359927e+158,1.3688725594315397e+155,4.307390183667892e+157,2.9347256056950625e+157,0.131
2.817693583334873e+158,1.3418378110375542e+155,4.2214339379729443e+157,2.87657075219549e+157,0.134
2.7616648990473694e+158,1.31526642377728e+155,4.136947379728252e+157,2.819391549746533e+157,0.137
2.706647479856637e+158,1.2891661530416466e+155,4.053955415088109e+157,2.7632065793135406e+157,0.14
2.6526529726242666e+158,1.2635429391761722e+155,3.9724772690330406e+157,2.7080305824526693e+157,0.143
2.599689464471476e+158,1.2384010547461557e+155,3.892526948035681e+157,2.6538747617620065e+157,0.146
2.5477617907496528e+158,1.213743245397176e+155,3.8141136812902904e+157,2.6007470676478715e+157,0.15
2.4968718284425456e+158,1.1895708639957642e+155,3.73724233967033e+157,2.5486524707884653e+157,0.153
2.4470187744842667e+158,1.1658839978559625e+155,3.661913831971773e+157,2.4975932199508393e+157,0.156
2.398199408705433e+158,1.1426815889597959e+155,3.588125478329844e+157,2.447569085050781e+157,0.159
2.350408341313479e+158,1.1199615471652993e+155,3.515871360968927e+157,2.3985775855412773e+157,0.162
2.3036382449760265e+158,1.0977208564662721e+155,3.4451426526650134e+157,2.3506142043765814e+157,0.165
2.2578800717113393e+158,1.0759556744251667e+155,3.3759279234732554e+157,2.3036725879288132e+157,0.168
2.2131232549007525e+158,1.0546614249460823e+155,3.3082134264055786e+157,2.257744732335353e+157,0.171
2.1693558968273107e+158,1.0338328845903834e+155,3.241983362840808e+157,2.2128211568314698e+157,0.174
2.1265649422156372e+158,1.0134642626643303e+155,3.17722012851745e+157,2.1688910646764542e+157,0.177
2.0847363383026476e+158,9.935492753277874e+154,3.113904541002581e+157,2.125942492316157e+157,0.18
2.0438551820093733e+158,9.740812139866112e+154,3.0520160495533934e+157,2.0839624474429952e+157,0.183
2.003905854812837e+158,9.550530082398094e+154,2.991532928295184e+157,2.042937036618812e+157,0.186
1.9648721459354146e+158,9.364572836569434e+154,2.932432453634424e+157,2.0028515831189557e+157,0.189
1.9267373644788879e+158,9.182864146621697e+154,2.87469106681099e+157,1.9636907356397698e+157,0.192
1.889484441132889e+158,9.005325727995449e+154,2.81828452247221e+157,1.9254385684884332e+157,0.195
1.8530960200838638e+158,8.831877706502046e+154,2.763188024125179e+157,1.8880786738455155e+157,0.198
1.817554541742104e+158,8.66243901666273e+154,2.7093763472943304e+157,1.8515942466583523e+157,0.201
1.7828423168918499e+158,8.496927761791849e+154,2.656823951179785e+157,1.815968162688779e+157,0.204
1.7489415928537718e+158,8.33526153831902e+154,2.6055050795794185e+157,1.7811830502030042e+157,0.208
1.7158346122311235e+158,8.177357726754662e+154,2.5553938518046088e+157,1.7472213557555636e+157,0.211
1.6835036647911285e+158,8.023133751607574e+154,2.5064643442865718e+157,1.7140654044840122e+157,0.214
1.6519311330123295e+158,7.872507312463729e+154,2.4586906635374453e+157,1.681697455297037e+157,0.217
1.6210995318071163e+158,7.725396588334274e+154,2.412047011098067e+157,1.650099751306428e+157,0.22
1.5909915429068012e+158,7.581720417279197e+154,2.3665077410727348e+157,1.619254565823193e+157,0.223
1.5615900443746632e+158,7.441398453212945e+154,2.3220474108203643e+157,1.5891442442101874e+157,0.226
1.5328781356905018e+158,7.304351301699994e+154,2.2786408253413514e+157,1.5597512418582614e+157,0.229
1.5048391588284087e+158,7.170500636453504e+154,2.236263075870231e+157,1.5310581585298854e+157,0.232
