frequency,Rmax,R_ratio,time
10.0,0.4321025501273244,0.5567000354681714,21:14:08
8.571428571428571,0.32232973400384585,0.87578254377126,21:14:10
20.0,0.3029636972213765,0.8114719097299713,21:14:12
10.0,0.25831928760866013,0.9542802253225967,21:14:14
10.0,0.3932885123894788,0.6686051147068447,21:14:16
10.0,0.3454559164815393,0.6735841761819695,21:14:18
7.5,0.3474813449293193,0.7357857560317784,21:14:20
10.0,0.24411979589230764,0.9737348688069642,21:14:22
30.0,0.21050277934990214,0.9151181196359109,21:14:24
20.0,0.296900407060371,0.9263614818587022,21:14:26
8.571428571428571,0.24648810939993598,0.9482884197049953,21:14:28
12.0,0.39697138434508855,0.8568144431505964,21:14:30
20.0,0.28482455682670327,0.8713089109181679,21:14:32
10.0,0.193533550988646,0.9915616303041552,21:14:34
8.571428571428571,0.21716998732471426,0.9111789586321855,21:14:36
6.0,0.246237876470201,0.9938588929616841,21:14:38
12.0,0.25777966015379705,0.8758614760233389,21:14:40
15.0,0.30178343506737226,0.9279999593887234,21:14:42
6.666666666666667,0.19869390194215047,0.8425162063491235,21:14:44
7.5,0.318094429048712,0.9221271233392274,21:14:46
30.0,0.3387317899273421,0.7500540365846045,21:14:48
8.571428571428571,0.24345385395718486,0.9445945633182996,21:14:50
12.0,0.24298952853422434,0.8557275364565068,21:14:52
8.571428571428571,0.3119586542933864,0.9055513419151745,21:14:54
12.0,0.2686535746667962,0.9753390457866455,21:14:56
30.0,0.2290160489538863,0.842722983071175,21:14:58
10.0,0.30936095004064396,0.9030526902349555,21:15:00
30.0,0.28903592897943026,0.9513992839688687,21:15:02
12.0,0.3430492420607136,0.8172528022427991,21:15:04
10.0,0.44061786015655036,0.6784692260168712,21:15:06
15.0,0.33004969204992474,0.6375799333834582,21:15:08
20.0,0.3150479283596516,0.7192495766934075,21:15:10
7.5,0.2552323163742783,0.9069693693297914,21:15:12
6.0,0.25638032863572047,0.9077797357216549,21:15:14
8.571428571428571,0.24810765986309144,0.8615223843378809,21:15:16
6.0,0.2619592948769461,0.8838945396540421,21:15:18
15.0,0.2681128267717186,0.890962243062415,21:15:20
12.0,0.27804751379725723,0.8076373377729511,21:15:22
15.0,0.2302728247473858,0.9152555883199885,21:15:24
6.0,0.2843667420989678,0.848947696648382,21:15:26
7.5,0.2817490418416695,0.7835173698693013,21:15:28
7.5,0.29059350170388865,0.8428358801181474,21:15:30
7.5,0.2800352835031668,0.9316343977000275,21:15:32
8.571428571428571,0.28254833126959494,0.8605010478847245,21:15:34
10.0,0.2795902466311932,0.8534317090323348,21:15:36
10.0,0.21361081326314685,0.937333222129668,21:15:38
6.666666666666667,0.32050426116282305,0.7573912846625821,21:15:40
8.571428571428571,0.23930822750406688,0.8264771015618702,21:15:42
