ch1,ch2,ch3,ch4,t
-0.17021064523602553,-0.1808099024954669,-0.18597940000482455,-0.1691740552262815,0.0
-1.5444969607353047,-1.6887991451389393,-1.7317888213276649,-1.5596506527510487,0.005
-6.560884070043519,-7.415641974959077,-7.599972887207123,-6.742806346558306,0.01
-17.47854970262526,-20.511279138205914,-21.074949287407247,-18.312265035361982,0.015
-32.99743835993662,-40.42241163768547,-41.76968353373857,-35.33854500094663,0.02
-47.1286296533438,-60.77932653372861,-63.24221402599254,-51.90335821911515,0.025
-52.663140852479614,-72.59386915130128,-75.76903919669671,-60.420450976486656,0.03
-46.432384841031265,-70.39689690996333,-72.69103665752947,-56.92912176285506,0.035
-32.04362856796671,-56.338527435381074,-55.73890647762263,-43.96157274752282,0.04
-18.133352418029013,-39.336837902673956,-35.093071397861884,-29.256746027077785,0.045
-13.007716319850505,-29.43778455761004,-22.92447220949843,-21.062678330202036,0.05
-18.860004154466804,-30.924964818363545,-24.789308553993077,-22.683373261188375,0.055
-29.87071793567855,-39.652772124195636,-36.15389571166,-30.283855070344696,0.06
-36.58265783233295,-46.98313757944865,-46.77745939693266,-36.18264277517108,0.065
-33.81689704850402,-46.80186129680106,-48.72549215170079,-35.23898520658909,0.07
-24.844465043243925,-39.49366197823673,-41.39227026986547,-28.73057728224916,0.075
-17.259062434188365,-29.884627702804877,-30.01915794023877,-22.121037574937986,0.08
-15.441003788189784,-22.191986721377496,-20.163900972761567,-19.386113931501363,0.085
-18.11731732961116,-17.435376365088747,-13.915048944727966,-20.075119219961255,0.09
-21.987760404255315,-14.697488694325722,-10.42966235768162,-21.398886939140834,0.095
-25.336882536263428,-13.070006522144164,-8.154550488691827,-21.628845774428683,0.1
-27.92626987592128,-12.056768471161623,-5.903026653588707,-20.79829462965728,0.105
-29.37226465945112,-11.519056224171914,-3.3612696363797325,-19.404540918062246,0.11
-28.9173721831961,-11.869252743695485,-1.722263439835005,-17.849937416566863,0.115
-26.381257967476827,-13.332655121006358,-2.7474531113509832,-16.721940636587707,0.12
-22.889548309873845,-14.835516572447233,-6.306147869769539,-16.560544451094056,0.125
-20.57299815208429,-14.839005688265324,-10.028386303649759,-17.409494696999342,0.13
-21.167179198609386,-13.576659874662369,-12.227103980148462,-19.119446139766737,0.135
-24.622577898782918,-13.326495101784678,-13.850579476291434,-21.841990203407338,0.14
-28.988370043940566,-15.753326229514675,-16.51995556169785,-25.5057026754907,0.145
-31.610549626180717,-19.41699416158371,-19.556683016370293,-28.687284727521806,0.15
-30.90494927203689,-20.428726459105103,-19.78150146997385,-28.59981882020098,0.155
-27.38947150922172,-15.597689751121202,-13.969127434789943,-22.799467383960334,0.16
-22.60079356246353,-4.961746515953098,-1.512566341159679,-11.21798381057829,0.165
-16.923362105305188,8.27890395849983,14.571183702299912,3.2264952918311502,0.17
-9.478261727729702,19.642656205059517,28.642812360446175,15.860981235555515,0.175
-0.5574758483597689,25.34984861652261,34.825941563272394,22.49299708178634,0.18
7.049307917314468,23.795260138384773,29.864098763850343,21.403235014010047,0.185
10.33049267794202,16.42645527984504,15.228429429488168,14.125464036639201,0.19
9.27321770131168,7.28879121607921,-3.000582431618721,4.703349965642842,0.195
6.930400188781972,0.7347863269685361,-17.136565301484403,-2.3083272437879994,0.2
6.594408990562015,-1.0462535568163063,-21.9280429409884,-4.033019882844638,0.205
9.395598124190409,1.7062513035944704,-16.520040960138754,-0.25877465236986924,0.21
13.194974784285447,7.442391483969652,-4.0613385382322695,6.642319899098606,0.215
12.244277564821896,13.288346473890632,9.172771297868792,11.976116609789152,0.22
0.16558273103318216,15.148034888687558,15.934292400285715,10.472019473222863,0.225
-22.59170952280473,10.98282976624445,13.19490611283443,0.8764059314088593,0.23
-44.02926684022784,4.886046032159709,6.76942222749454,-10.348256684298907,0.235
-47.16148743930915,5.590800287418224,8.424963677577443,-12.269082153678823,0.24
-24.301879052560935,18.73360098963235,25.32523126363427,1.2351292626533743,0.245
14.721466771257191,40.42742947671078,51.72321963948091,25.01799711698082,0.25
49.05513855198187,59.405623310371006,72.67940186760525,45.98898462870936,0.255
62.707652154446784,66.51078624283451,77.372338145108,53.72198576615904,0.26
55.8715885844198,62.45637136378129,68.58873947053095,48.70270978606005,0.265
41.80788311491737,55.869495163504716,58.60261813168553,40.40242577541251,0.27
33.42978977334921,53.89732200996739,56.47968434326652,37.40159604196459,0.275
33.50515353295663,55.909639506921,60.67154975948006,40.062619916944406,0.28
36.523618968851565,56.56015777208862,63.58337180609483,42.81644289452952,0.285
37.12168970105836,53.321227847869274,61.26312994568205,41.99137350510054,0.29
35.571616966135124,49.5953952548045,57.46851102173816,39.869726692086374,0.295
36.424270669375375,50.64037715408025,58.81293356631269,41.20630824990089,0.3
42.85500751035788,57.22576634150532,66.53766486084524,46.86468714536232,0.305
52.46283496425742,63.823450574396176,73.62920343079297,51.8421260117534,0.31
58.97676710939843,63.29591880522164,70.8786467472758,49.93381233202285,0.315
58.14160215373026,53.41357271480786,55.837344543212645,39.98310202422888,0.32
51.7030500725756,39.25952793010702,35.791442862684676,27.365482028612618,0.325
46.18825631892975,29.976506580553913,22.73013754997645,19.92564147651772,0.33
47.967540956431876,32.27558889869901,24.800077592790355,22.350029230983576,0.335
58.25442549309113,44.942082411475646,40.186717773845444,32.97881199220323,0.34
71.90685566278988,59.08514456952621,58.178695138504025,45.00955104897273,0.345
81.37192050950796,65.06242337924455,67.30851804057612,51.37742168986694,0.35
82.40457857306764,60.1545663033026,63.6948683707992,49.66673970913827,0.355
76.49204649326157,49.77389239524584,52.35001032408916,43.02023043020606,0.36
68.67656015296123,41.85185135271459,41.714700740285586,36.661882928864785,0.365
63.7402605256032,40.58571868735837,37.58903578247484,33.78313103379424,0.37
63.63905036137991,44.5943691344037,40.53054979699826,34.292576311451825,0.375
66.90946546174466,49.14174391239494,46.244591878443195,36.08657025068249,0.38
70.20421129128087,49.78497952580581,48.41893333221592,36.79155212276575,0.385
71.25983797117526,45.54251792135568,43.83712064155043,35.29811129717484,0.39
70.57589057002609,39.733001403140356,35.95602558919362,32.70858822478659,0.395
70.18264113326666,37.46226626966901,32.468898993296186,31.785563994801993,0.4
71.36646044229076,41.49160729177167,38.4399647335305,34.83037705290843,0.405
73.60709466914278,49.68313201912004,51.226534503108574,41.246368557864365,0.41
75.02419867233895,56.31375255085818,61.931395297042435,47.16031074991705,0.415
73.7442735512577,56.802840305189875,62.77836540994727,48.48935810577578,0.42
69.41244961043095,51.66586977959438,53.85316365924107,44.719982599720005,0.425
63.70751127608456,45.493313219724335,42.480119906643594,39.08347786184359,0.43
59.030677722758654,42.15372266136225,36.05796563724042,35.07414652344331,0.435
56.52066273762315,41.53448600305299,35.79094861255118,33.45467140474867,0.44
55.66240892597606,40.77644445498373,37.11288671038878,32.75511029732007,0.445
55.392822527719936,37.810366379677326,35.376199095450474,31.915479169338887,0.45
55.03563045645013,33.47093293662678,30.68098573160303,31.727948208256883,0.455
55.04477244192814,30.949110476943897,27.726086709988426,34.00607095791641,0.46
57.10156739138165,33.31994447567581,31.247452501413495,39.73530941796127,0.465
61.78398541285639,40.509973466146825,40.97226343684281,47.45218646278524,0.47
66.0852029582793,48.432530355879,51.2594198090946,53.361222096320205,0.475
65.57547427608617,52.131003863662436,56.41315321646754,54.10199377183084,0.48
59.45063274344139,49.969693093969255,55.42886906864872,49.69108185332796,0.485
51.988545133435366,44.35617606173196,50.89548108690235,43.348374686890836,0.49
49.087759801167614,39.09435570658636,45.28721154380878,38.81853943663582,0.495
53.73080062354202,36.652591372635655,39.91928635772125,38.00761300772955,0.5
63.415982910642214,37.03686496649032,35.89549878198649,40.18718354817255,0.505
71.3400149429647,38.302834764531724,34.02215437546408,42.74039502457259,0.51
71.5337072789428,38.334691822637225,34.01893655573848,43.07794242838109,0.515
63.72925895237893,36.45657460820226,34.732036865049594,40.44445144669782,0.52
53.0920570974126,33.51720499018857,35.03364543391028,36.270323635069545,0.525
45.837067512482726,31.06411189138404,34.51695062759043,33.15733236646326,0.53
45.447984725803444,30.700921847824695,34.00956329442123,33.377764752223484,0.535
51.598559894496645,33.313810601521666,35.26019337811058,37.401820239305906,0.54
60.43206447404268,37.78950269094652,38.89167269537052,43.00670822862154,0.545
65.55955457131685,40.56289109958387,42.37548256105169,46.011833648178666,0.55
61.607886887217745,37.93570466842815,41.50655631882895,43.19434978317067,0.555
49.58863088860024,30.22375862223462,35.2165867482876,35.698560325957004,0.56
37.79750318341373,22.845043491228587,28.023162688051784,29.06783777908577,0.565
34.47656989918226,21.229978235641056,25.515751025502475,28.114396984288522,0.57
38.65424899666945,24.066300609748094,26.74420075504481,30.90035547075072,0.575
39.32696291520537,22.826204422383874,22.65272234244308,28.62854282869832,0.58
25.192432628100562,9.478515696424498,4.358790170418938,13.100101668797326,0.585
-3.5225492521612156,-14.576584161673303,-26.035554275880365,-14.45907521028307,0.59
-32.850662599862,-37.65414741744197,-54.19581637236084,-41.99777034485268,0.595
-45.924377942347405,-46.88789200734172,-64.84992672363279,-55.141217394808955,0.6
-37.120990653109175,-39.020707008004166,-54.800604971154144,-48.51002887328053,0.605
-16.242579461153916,-22.860870902844205,-35.1300053061053,-29.94210446135229,0.61
