ch1,ch2,ch3,ch4,t
-143.3784145512618,-280.61404342530295,-257.97268909355626,-379.9663556981832,0.23
-120.32941112434492,-261.2226621550508,-250.74720237916335,-357.6167135629803,0.235
-131.5977296908386,-287.76473214058205,-294.6386682591401,-378.6985296132043,0.24
-150.22243147017434,-295.92519384389743,-296.014951442834,-391.0065403673798,0.245
-135.62560194311664,-274.7050014953129,-264.6633701142855,-374.5958593618125,0.25
-104.09076551673934,-245.3954055425711,-245.66841823933646,-348.5399763705209,0.255
-123.40360888792202,-262.86821813555434,-252.1795840621926,-354.92398559488356,0.26
-145.5737358252518,-285.91348166251555,-288.1088029365055,-377.05671353265643,0.265
-146.2356981174089,-293.5653169718571,-289.46638662042096,-391.61614406015724,0.27
-132.44294708082452,-272.1431700256653,-264.02010732190683,-366.93654425255954,0.275
-138.76711790589616,-278.98344704462215,-275.7446936829947,-366.9926427518949,0.28
-121.28308561304584,-252.44137705909088,-245.36922624288127,-345.7986297030002,0.285
-97.11959199933335,-251.1772908740677,-225.4991377783008,-346.4306727955118,0.29
-99.01946117682382,-260.8898110589944,-263.64611732633784,-361.75304291397333,0.295
-144.85941493371502,-295.050057254266,-302.9412461607717,-391.27207326423377,0.3
-102.10861854022369,-283.2656324938871,-286.848456651438,-374.89505135826766,0.305
-131.54537109145895,-297.76522462209687,-301.8604150735773,-387.5246935086325,0.31
-114.8130586897023,-288.72214652923867,-296.0112115428783,-378.3619386171922,0.315
-95.61241231719032,-258.12228509178385,-264.49881451623514,-366.37181935925037,0.32
-81.62144658295438,-245.38044594274834,-247.72162331501022,-349.47495135944337,0.325
-82.5003230725415,-272.8799303169362,-271.82527852943167,-361.07986092194915,0.33
-93.63774514058605,-272.61439742008224,-269.7122350544669,-363.2078639967367,0.335
-89.98386288387701,-280.8870561220683,-278.4411615510471,-368.82893363013864,0.34
-84.725563546177,-260.4335432644002,-265.4749284046702,-359.40438574180007,0.345
-96.29307410912588,-274.0093801035546,-279.2639395412989,-361.4688105173409,0.35
-92.59431305294856,-269.5439395564608,-279.6977679361589,-367.5835469448939,0.355
-93.63774514058605,-274.23377410089597,-270.7033085427247,-376.97817563358694,0.36
-66.8264023582451,-252.53487455798313,-245.432804542128,-348.7494107680395,0.365
-104.33011911390349,-281.05909152003005,-290.0722504132427,-368.6905573317781,0.37
-90.73558277497068,-291.3886951976456,-311.92074595438316,-382.9881948623806,0.375
-73.67789907706901,-268.35091147059575,-270.68460904294625,-362.0671945102513,0.38
-76.35566744534299,-266.140630596783,-263.57131932722405,-365.5340817691758,0.385
-91.12079247040674,-262.9654555344023,-260.8000534600578,-357.8635469600558,0.39
-56.20882638404146,-237.78096923278645,-230.0879950239323,-325.8687028391287,0.395
-96.16217761067674,-275.5838779849,-271.9187760283239,-371.9891490926966,0.4
-63.05658320290968,-269.1811692607589,-279.57061133766547,-360.85172702465206,0.405
-100.2498882622458,-263.1150515326299,-264.4726352165453,-354.96886439435184,0.41
-90.41395137878135,-255.29866062523797,-265.3589915060438,-353.121353816241,0.415
-72.72796448832378,-263.7657941249199,-265.3963905056007,-359.2921887431294,0.42
-93.14407834643498,-269.45792185747996,-261.9295032466762,-363.4322579940781,0.425
-103.19318952737376,-278.64311614865437,-295.1173754534684,-371.48426259867847,0.43
