detected_frequency,expected_frequency,hit,Rmax,R_ratio,time
6.666666666666667,0,False,0.1890528523483729,0.9249653790450962,17:13:57
8.571428571428571,6.666666666666667,False,0.18876772783138648,0.9948717319801508,17:14:05
6.666666666666667,6.666666666666667,True,0.2218123425995632,0.8995258723157283,17:14:12
6.666666666666667,6.666666666666667,True,0.1857851937082902,0.899323542274641,17:14:20
10.0,7.5,False,0.21765498484142515,0.903629030529566,17:14:28
6.666666666666667,6.666666666666667,True,0.2282952445287622,0.899113563690298,17:14:35
7.5,7.5,True,0.2737386513723199,0.6941035969065207,17:14:43
8.571428571428571,6.666666666666667,False,0.19275353719143998,0.9741579473124091,17:14:50
7.5,8.571428571428571,False,0.17944431644605546,0.9745493130654395,17:14:58
6.666666666666667,8.571428571428571,False,0.2512668664705392,0.9228171250345675,17:15:06
7.5,0,False,0.2272947599283133,0.8046515953624538,17:15:13
