ch1,ch2,ch3,ch4,f
2.998880074773183e+101,2.301754839788412e+101,1.0141683151271971e+101,1.7920803094749557e+101,0.0
1.1976228897424681e+102,9.192041569505154e+101,4.050124415924115e+101,7.156521961596208e+101,0.006
1.191872945518795e+102,9.147395801243802e+101,4.0306051704833076e+101,7.121355039850626e+101,0.012
1.1824128088193636e+102,9.073931140050374e+101,3.998491197695391e+101,7.06350203676321e+101,0.018
1.169420937718078e+102,8.973018222095654e+101,3.954388537751e+101,6.98406269469377e+101,0.024
1.1531353420560074e+102,8.846486554111578e+101,3.8991053407549685e+101,6.884503974850748e+101,0.031
1.133842986429604e+102,8.69654434031546e+101,3.833615773957141e+101,6.766594913167922e+101,0.037
1.1118677391120637e+102,8.525687156878513e+101,3.759018991194423e+101,6.632332477329943e+101,0.043
1.0875577553055259e+102,8.336602128871171e+101,3.676496202709003e+101,6.483863866762653e+101,0.049
1.0612731257719277e+102,8.132073853620435e+101,3.587268689458537e+101,6.323410359056112e+101,0.055
1.0333744881029105e+102,7.914897332283371e+101,3.492559148526152e+101,6.153196999217841e+101,0.061
1.00421311680284e+102,7.687801832531407e+101,3.3935581339628985e+101,5.975391327391348e+101,0.067
9.741228104916608e+101,7.45338813524299e+101,3.2913966748256996e+101,5.79205313092219e+101,0.073
9.434137062811531e+101,7.214080213371684e+101,3.187125500776203e+101,5.605096049201778e+101,0.079
9.123679916444798e+101,6.972091193461016e+101,3.081700751960012e+101,5.416260871829499e+101,0.085
8.812373632400724e+101,6.729402538381562e+101,2.975975631450264e+101,5.227099618475434e+101,0.092
8.50242002773337e+101,6.487754784893582e+101,2.870697185774136e+101,5.038968991476867e+101,0.098
8.195707988593188e+101,6.24864784889661e+101,2.7665072615399303e+101,4.8530315324635246e+101,0.104
7.893825342158301e+101,6.013348825053679e+101,2.6639466603663456e+101,4.670262752035642e+101,0.11
7.598077711382227e+101,5.782905294897543e+101,2.563461570744922e+101,4.49146258617634e+101,0.116
7.309511969653147e+101,5.5581623582835396e+101,2.4654114646134617e+101,4.3172697136061725e+101,0.122
7.028942281130583e+101,5.339781865193838e+101,2.370077782465032e+101,4.1481774996482835e+101,0.128
6.756977107406538e+101,5.128262608276939e+101,2.2776728735822325e+101,3.9845505787731583e+101,0.134
6.494045943393289e+101,4.92396051319093e+101,2.188348793375757e+101,3.8266413246231514e+101,0.14
6.240424890468427e+101,4.7271081165605273e+101,2.1022056792819305e+101,3.6746056674015677e+101,0.146
5.996260469965334e+101,4.537832841176118e+101,2.0192995261996438e+101,3.528517896396905e+101,0.153
5.761591320698342e+101,4.3561737617293405e+101,1.9396492612638367e+101,3.388384228288624e+101,0.159
5.536367611809387e+101,4.182096702268187e+101,1.863243077223256e+101,3.254155031750949e+101,0.165
5.32046814186932e+101,4.0155076210579906e+101,1.7900440263416833e+101,3.125735679842781e+101,0.171
5.113715193795775e+101,3.856264323046237e+101,1.719994905556712e+101,3.0029960586801176e+101,0.177
4.9158872803261045e+101,3.704186598466831e+101,1.6530224815762712e+101,2.885778798864899e+101,0.183
4.726729953850496e+101,3.559064922244349e+101,1.589041114355373e+101,2.773906319561665e+101,0.189
4.545964873946965e+101,3.420667866743678e+101,1.527955841253652e+101,2.667186787787526e+101,0.195
4.3732973314994804e+101,3.288748383964257e+101,1.469664983974622e+101,2.565419100535842e+101,0.201
4.2084224242244465e+101,3.1630491062714784e+101,1.414062337567421e+101,2.4683969972551747e+101,0.208
4.051030068113489e+101,3.0433068007313897e+101,1.361038996405731e+101,2.3759124068149267e+101,0.214
3.900809015152601e+101,2.92925609427033e+101,1.310484866914589e+101,2.2877581277309772e+101,0.22
3.757450031434036e+101,2.820632567966604e+101,1.2622899114131774e+101,2.2037299339586813e+101,0.226
3.620648372680467e+101,2.7171753009864103e+101,1.2163451621096472e+101,2.123628191480317e+101,0.232
3.490105677162411e+101,2.6186289295528957e+101,1.1725435392171014e+101,2.0472590634614722e+101,0.238
3.3655313796910993e+101,2.524745274764607e+101,1.1307805024663987e+101,1.9744353740371417e+101,0.244
3.246643735304395e+101,2.4352845852854338e+101,1.0909545610303753e+101,1.9049771928983706e+101,0.25
3.133170527745218e+101,2.3500164365714026e+101,1.0529676630779115e+101,1.8387121949098646e+101,0.256
3.024849525985534e+101,2.2687203266106158e+101,1.0167254828613087e+101,1.7754758411870704e+101,0.262
2.9214287418212617e+101,2.191186008113099e+101,9.821376204093297e+100,1.7151114206299522e+101,0.269
2.8226665327598507e+101,2.11721359762475e+101,9.49117726539041e+100,1.657469984082156e+101,0.275
2.7283315867717942e+101,2.046613502206881e+101,9.175835639860449e+100,1.6024101972425416e+101,0.281
2.6382028187093755e+101,1.9792062034351036e+101,8.874570139460999e+100,1.5497981333041622e+101,0.287
2.5520692021118832e+101,1.914821936179556e+101,8.586640361732945e+100,1.4995070220444986e+101,0.293
2.469729554632256e+101,1.8533002959265505e+101,8.311345899347689e+100,1.451416968670737e+101,0.299
2.3909922904689197e+101,1.794489803568581e+101,8.048025225164764e+100,1.4054146530119283e+101,0.305
2.315675149082964e+101,1.7382474510903857e+101,7.796054315389382e+100,1.3613930175016142e+101,0.311
2.2436049062568525e+101,1.6844382459467685e+101,7.554845070025337e+100,1.3192509506724477e+101,0.317
2.1746170712891148e+101,1.632934766654619e+101,7.323843586663452e+100,1.2788929714785548e+101,0.323
2.1085555728026337e+101,1.5836167375757617e+101,7.102528340106976e+100,1.240228918596622e+101,0.33
2.0452724351393594e+101,1.5363706272527665e+101,6.890408315981242e+100,1.2031736478904365e+101,0.336
1.9846274473934476e+101,1.4910892720143373e+101,6.687021141125982e+100,1.1676467404348309e+101,0.342
1.926487827523856e+101,1.4476715247935817e+101,6.491931247308122e+100,1.1335722228698027e+101,0.348
1.8707278844244497e+101,1.406021928020164e+101,6.304728097917236e+100,1.1008783013745693e+101,0.354
1.8172286811159812e+101,1.3660504088459755e+101,6.125024500234558e+100,1.0694971101821524e+101,0.36
1.7658777022517068e+101,1.327671994652004e+101,5.952455019035419e+100,1.0393644752538631e+101,0.366
1.7165685288802762e+101,1.2908065466195228e+101,5.7866745010581275e+100,1.0104196934527212e+101,0.372
1.6692005229401148e+101,1.255378509052296e+101,5.627356714488181e+100,9.826053272578076e+100,0.378
1.6236785233603623e+101,1.2213166720862767e+101,5.4741931031681875e+100,9.558670147310491e+100,0.385
1.579912555012118e+101,1.1885539454382365e+101,5.3268916517405196e+100,9.301532940936294e+100,0.391
1.5378175511688234e+101,1.1570271409615568e+101,5.1851758552787936e+100,9.054154419240403e+100,0.397
1.497313089645192e+101,1.1266767620280717e+101,5.048783785053054e+100,8.81607323699403e+100,0.403
1.458323142409015e+101,1.0974467981499783e+101,4.91746724079476e+100,8.58685255209792e+100,0.409
1.4207758381952908e+101,1.069284523776561e+101,4.790990979097731e+100,8.366078733098323e+100,0.415
1.3846032374797945e+101,1.042140300799464e+101,4.66913200735733e+100,8.153360145369626e+100,0.421
1.349741119067717e+101,1.0159673849106318e+101,4.551678932881459e+100,7.948326003009998e+100,0.427
1.3161287775024278e+101,9.90721736505685e+100,4.4384313574792975e+100,7.750625275964884e+100,0.433
1.2837088304856948e+101,9.66361837247376e+100,4.329199308909829e+100,7.559925644616704e+100,0.439
1.252427035516107e+101,9.428485136536883e+100,4.223802701984031e+100,7.375912496635245e+100,0.446
1.2222321149947804e+101,9.201447691345542e+100,4.122070823755098e+100,7.198287962971584e+100,0.452
1.1930755891173444e+101,8.982156257795203e+100,4.023841838955644e+100,7.026769991362402e+100,0.458
1.1649116159692187e+101,8.770279769289559e+100,3.92896231348686e+100,6.861091456610936e+100,0.464
1.1376968383647146e+101,8.56550451192629e+100,3.8372867551744814e+100,6.700999307354459e+100,0.47
1.1113902371118658e+101,8.367532881667204e+100,3.748677172058956e+100,6.546253749196775e+100,0.476
