ch1,ch2,ch3,ch4,t
-37.90014615096152,-60.07401298824698,-43.0948671894148,-30.386687139980495,0.0
41.47175060864538,18.85283567663282,36.10873407218605,33.67405920103192,0.005
-11.178560967557132,-2.296298572793603,5.748226231895387,-5.531312034465373,0.01
-38.21803764719516,-48.36064632702619,-41.49045010842383,-34.358460892923176,0.015
-4.674874944612384,-19.638214667327702,-4.678614844568074,-6.84401691891253,0.02
35.667425877414644,33.554382402449846,39.90099262725562,24.414066910743713,0.025
3.092897263355553,3.3135513607412577,5.508872634731233,-13.545917639508843,0.03
-36.95395146217197,-46.041908354498446,-43.19584448821843,-50.929957596585155,0.035
-10.8569295713678,-19.78407076559961,-9.327310489490628,-24.58984220866114,0.04
36.852974163368344,35.28969598188996,38.820161540061235,8.814944195561111,0.045
4.865609842352569,0.06357829924672842,-0.5684647932648659,-29.477891450747848,0.05
-39.94213152676821,-53.301054168492556,-45.323847563005984,-60.09645238798112,0.055
-5.538791834376752,-16.272304707206786,-8.957060393877327,-21.39970754645765,0.06
34.99424388539046,37.87396685127169,38.401292745023966,12.05743745714426,0.065
1.0621315874159336,-0.09723739884793758,6.787918419577181,-12.996152346022427,0.07
-38.894959539175034,-48.01657553110272,-42.877952991984785,-38.408772544935346,0.075
-0.7704193908721209,-13.115829144604504,-2.9133820654824376,0.7778991907835007,0.08
36.422885668464005,32.9410388097167,39.291388934478164,30.293189641088247,0.085
10.127649080008268,2.258899573236704,7.356383212842047,3.380869559943676,0.09
-45.00221616681665,-49.21334351692349,-38.068441648967564,-35.192458583042026,0.095
-5.415375135838985,-15.116675620898604,-3.332250860519707,-1.3912427835166454,0.1
38.6107271425426,32.27907651755959,41.06410151347518,33.229011106304824,0.105
-2.3897960716858506,-6.552304722368717,3.6501423567533493,-9.936914182268083,0.11
-40.031889125704765,-46.33736045099795,-39.90099262725562,-40.32734122220427,0.115
-6.02123892866075,-18.340469382703304,-6.462547123432159,-13.171927643939853,0.12
39.05203533731401,27.622901072725654,41.47175060864538,15.344809518195689,0.125
6.1783147267997265,-0.4787071943283081,6.9823932172730565,-17.906640987843275,0.13
-45.12563286535442,-43.285602087154984,-46.21020385250449,-48.480323125608265,0.135
-4.551458246074617,-19.238045372068882,-10.83823007158935,-19.062270074151456,0.14
38.378853345289826,29.302116152830422,36.93899186234921,14.48089262843132,0.145
4.259746049530804,-2.3075182726606727,4.525278946384788,-18.89397457614541,0.15
-34.17520579509437,-43.02380909025669,-41.34833391010761,-49.86408610921353,0.155
-8.369896100834012,-20.322616359218955,-6.387749124318361,-15.823516712523997,0.16
35.80206227581948,37.55981525499374,41.44557130895555,24.047556715086102,0.165
3.6838014563545585,0.160815698094666,8.0407849047333,-8.616729497909546,0.17
-40.054328525438905,-46.18776445277035,-36.781916064210236,-34.829688287340105,0.175
-3.665101956576109,-15.086756421253085,-1.2715659849345684,3.2387533616274595,0.18
38.378853345289826,29.066502455621958,44.71798377018422,28.733651359565556,0.185
2.6665486684069037,1.7091342797502875,13.489819140173495,-5.4939130349084735,0.19
-41.999076502397656,-50.71304339915514,-38.22551744710654,-35.644986477680504,0.195
