ch1,ch2,ch3,ch4,f
2.1454702189353598e+83,3.193297840603501e+85,7.271736938585945e+84,3.4597101389575484e+83,0.287
2.0748747800505574e+83,3.0886590746627517e+85,7.032377528582438e+84,3.347288370023475e+83,0.293
2.0074091696034433e+83,2.9886731533889154e+85,6.803746340881229e+84,3.23982573156381e+83,0.299
1.9429123151259799e+83,2.8931020506573684e+85,6.585282099080922e+84,3.1370658192946687e+83,0.305
1.8812315064413366e+83,2.8017189144180132e+85,6.376452942388131e+84,3.0387652795113363e+83,0.311
1.8222220755555257e+83,2.7143078639442277e+85,6.176755261205896e+84,2.9446934486816616e+83,0.317
1.7657470685846875e+83,2.630663752923507e+85,5.985712501325821e+84,2.8546319527559257e+83,0.323
1.7116769148553206e+83,2.5505919001180483e+85,5.80287395894059e+84,2.768374270687077e+83,0.33
1.6598890967118338e+83,2.473907790134855e+85,5.6278135827769665e+84,2.685725267368374e+83,0.336
1.6102678222820755e+83,2.400436747497894e+85,5.460128795162412e+84,2.606500701920351e+83,0.342
1.5627037024937875e+83,2.330013587690298e+85,5.2994393405138015e+84,2.5305267178532543e+83,0.348
1.517093433003535e+83,2.2624822491445637e+85,5.145386167245033e+84,2.4576393220084767e+83,0.354
1.473339481378318e+83,2.1976954103192033e+85,4.997630347121345e+84,2.3876838592992778e+83,0.36
1.4313497798198646e+83,2.135514096023181e+85,4.855852034417713e+84,2.320514490112803e+83,0.366
1.391037423880755e+83,2.0758072770472615e+85,4.719749465762509e+84,2.255993676807566e+83,0.372
1.3523203779115194e+83,2.018451466955479e+85,4.589038000271901e+84,2.1939916850635862e+83,0.378
1.3151211883127112e+83,1.9633303196130693e+85,4.463449198582731e+84,2.1343861049498258e+83,0.385
1.2793667059646412e+83,1.9103342307193943e+85,4.342729938763357e+84,2.07706139551477e+83,0.391
1.244987819403293e+83,1.859359946311199e+85,4.226641566878087e+84,2.0219084555455457e+83,0.397
1.2119192003598954e+83,1.810310180923504e+85,4.114959080187438e+84,1.9688242219574445e+83,0.403
