frequency,correlation,time
10.0,0.4272576340191813,12:11:00
10.0,0.458866811591854,12:11:02
10.0,0.45145072486514043,12:11:04
6.666666666666667,0.43862358423506226,12:11:18
6.0,0.4591368130050023,12:11:20
6.666666666666667,0.5615623305986566,12:11:22
6.666666666666667,0.5444411454534575,12:11:24
6.666666666666667,0.5884804093112735,12:11:26
6.666666666666667,0.5427565462940809,12:11:28
6.666666666666667,0.36010973401642676,12:11:30
10.0,0.42147009773446614,12:11:36
10.0,0.4036949639844397,12:11:40
6.666666666666667,0.4616273929032479,12:11:48
6.666666666666667,0.30741287619461255,12:11:50
10.0,0.4703278776324273,12:11:53
7.5,0.33374283914841607,12:11:57
7.5,0.497520724909417,12:12:01
7.5,0.3641435499400642,12:12:03
7.5,0.32312059216186545,12:12:05
7.5,0.371825839694929,12:12:07
8.571428571428571,0.3002250100892774,12:12:17
8.571428571428571,0.35118392536679743,12:12:19
8.571428571428571,0.41881199544983105,12:12:21
8.571428571428571,0.28853265181798693,12:12:23
10.0,0.4147314723699755,12:12:37
10.0,0.3724932274844003,12:12:39
10.0,0.48104311944900724,12:12:41
10.0,0.3601166864345242,12:12:47
10.0,0.41860467596444967,12:12:49
12.0,0.3109530169820639,12:12:53
15.0,0.41917737890205686,12:13:01
8.571428571428571,0.4540799536427874,12:13:09
8.571428571428571,0.3957232818456121,12:13:11
8.571428571428571,0.46760484879116687,12:13:13
8.571428571428571,0.40719052425762925,12:13:15
8.571428571428571,0.3283611242509489,12:13:17
8.571428571428571,0.49851845109964843,12:13:19
8.571428571428571,0.3999243267194283,12:13:21
10.0,0.4232891262642765,12:13:23
8.571428571428571,0.4050493718082383,12:13:25
6.666666666666667,0.2807046652933124,12:13:56
10.0,0.3077994558438806,12:14:00
6.666666666666667,0.4147485214382251,12:14:02
12.0,0.4136022999706039,12:14:10
6.666666666666667,0.4960445955226847,12:14:12
6.666666666666667,0.4266530192366745,12:14:14
6.666666666666667,0.5105654483652684,12:14:20
12.0,0.4044401150654294,12:14:24
12.0,0.4500547068423551,12:14:26
