frequency,Rmax,R_ratio,time
12.0,0.2627393950359153,0.9257752261296753,21:27:54
7.5,0.2551841367418229,0.8309364598412022,21:27:56
15.0,0.23415293959748962,0.9817352105061736,21:27:58
20.0,0.26298635642009904,0.8862374351911464,21:28:00
15.0,0.2308050036424855,0.9918264043397813,21:28:02
6.0,0.30639591783133274,0.9264262166508662,21:28:04
30.0,0.23513321040384366,0.9650384676455034,21:28:06
10.0,0.31070216501557646,0.974888526923669,21:28:08
8.571428571428571,0.293273198743399,0.8987753377958093,21:28:10
15.0,0.3062393663036648,0.9517516353231773,21:28:12
15.0,0.375947576669171,0.7712942740285283,21:28:14
15.0,0.2940214437228709,0.9744133254326333,21:28:16
15.0,0.3626990854403988,0.6289665024871091,21:28:18
6.666666666666667,0.26696143339256406,0.9781258111827145,21:28:20
6.666666666666667,0.3213421151526631,0.8202608344675693,21:28:22
8.571428571428571,0.32244939295533703,0.9246449552226051,21:28:24
15.0,0.3418331614976845,0.6720376699692467,21:28:26
6.0,0.28379893073570106,0.9709551013030459,21:28:28
15.0,0.2900658288819808,0.6557273633336732,21:28:30
6.0,0.31675091361477287,0.8744433842309856,21:28:32
8.571428571428571,0.23516191878523357,0.935497939221973,21:28:34
15.0,0.4247863155394589,0.6425007577664432,21:28:36
15.0,0.29067240338658606,0.8435908942861555,21:28:38
15.0,0.3225656399544118,0.7792612310735132,21:28:40
30.0,0.3142996435368167,0.9033976667331929,21:28:42
7.5,0.35166449232163904,0.8835432001259049,21:28:44
8.571428571428571,0.3115936476796304,0.8438785156916279,21:28:46
7.5,0.30872733269492436,0.8948037782071209,21:28:48
10.0,0.2718930636049782,0.9586316882927203,21:28:50
8.571428571428571,0.27843726141520975,0.9965797344319802,21:28:52
7.5,0.34665082463328684,0.9304140721222554,21:28:54
7.5,0.28480853258262745,0.9662512718288296,21:28:56
30.0,0.2361083524189801,0.8826928578663914,21:28:58
6.0,0.27482235507095404,0.9406680625417533,21:29:00
7.5,0.2851331338090391,0.9762535469290011,21:29:02
15.0,0.26187945627566034,0.9932350401764384,21:29:04
7.5,0.21819353031074032,0.952449865105787,21:29:06
20.0,0.30598943204230905,0.7158285704747366,21:29:08
30.0,0.25514446943338803,0.9402482081011161,21:29:10
15.0,0.2567566866317174,0.811824888770192,21:29:12
15.0,0.3076913532868852,0.751259468932716,21:29:14
12.0,0.27624271049751803,0.7280021134149851,21:29:16
15.0,0.4921644818650862,0.40903598726758783,21:29:18
15.0,0.3263796517664596,0.7391928571226783,21:29:20
15.0,0.3969531534345296,0.7268504477956346,21:29:22
15.0,0.3228476701896731,0.8928541450346538,21:29:24
6.666666666666667,0.31157936805264447,0.9446727740957046,21:29:26
10.0,0.3184763610459844,0.9096671694868496,21:29:28
15.0,0.46258085501434204,0.5557195712863054,21:29:30
15.0,0.3670459848819613,0.6107606176473789,21:29:32
6.666666666666667,0.3381866397969083,0.8737142427255066,21:29:34
8.571428571428571,0.2625699150623146,0.989435254581017,21:29:36
6.666666666666667,0.2828740932114451,0.9345756767060811,21:29:38
7.5,0.2934053672010445,0.9495042514202204,21:29:40
15.0,0.2883226209518924,0.9861976734420845,21:29:42
6.666666666666667,0.24298187393097478,0.996556872659662,21:29:44
10.0,0.23893570818376403,0.8866134040751517,21:29:46
6.0,0.3146506346845211,0.9840438783494834,21:29:48
15.0,0.3207245637238163,0.7215492434244505,21:29:50
15.0,0.3856230799543928,0.565698629260136,21:29:52
15.0,0.35896349679347905,0.6591278388224425,21:29:54
7.5,0.31993626886816606,0.9193482295766732,21:29:56
8.571428571428571,0.28802641998517153,0.9219076804215017,21:29:58
15.0,0.37387764871493956,0.8403746372646455,21:30:00
7.5,0.24458193309191983,0.9782359919721254,21:30:02
7.5,0.4231682866038594,0.828208490412819,21:30:04
10.0,0.2821021249205616,0.9360093413833459,21:30:06
6.0,0.2691778432462445,0.8212263393247242,21:30:08
10.0,0.2563198523206529,0.9945892936940329,21:30:10
7.5,0.2729559711885304,0.957208357321718,21:30:12
7.5,0.29724845859960636,0.8380815456814728,21:30:14
7.5,0.3208158674088693,0.9791937092626072,21:30:16
8.571428571428571,0.2626046260152128,0.923186003214447,21:30:18
8.571428571428571,0.2320333548115873,0.9773574663936125,21:30:20
6.0,0.3338311584297793,0.9550378776582795,21:30:22
20.0,0.1668833832436975,0.9252360533413817,21:30:25
6.0,0.29103707728616973,0.9469179030647723,21:30:27
10.0,0.24709747083434927,0.9179901309886965,21:30:29
10.0,0.29493188177829777,0.9161160964565284,21:30:31
7.5,0.23218699041718752,0.9023757828598149,21:30:33
12.0,0.23402207553124682,0.944097139469219,21:30:35
20.0,0.28396788894058855,0.8330958029433069,21:30:37
6.666666666666667,0.2150926155105565,0.9873302454372226,21:30:39
6.666666666666667,0.2862979744348235,0.6566796938255953,21:30:41
6.666666666666667,0.21495026849645232,0.892104447129966,21:30:43
7.5,0.27777515920604684,0.8415402296196219,21:30:45
10.0,0.254705297464187,0.9733894666079236,21:30:47
15.0,0.3206906043646323,0.9701610234631857,21:30:49
6.666666666666667,0.30195291615506586,0.8327526357504902,21:30:51
6.666666666666667,0.38206866681911594,0.6083780677433664,21:30:53
15.0,0.3227702931194833,0.6405178016099029,21:30:55
15.0,0.3525618434527326,0.7792179473743265,21:30:57
10.0,0.2861220821209907,0.8557276969207187,21:30:59
8.571428571428571,0.26786951385478935,0.7968406097210461,21:31:01
10.0,0.32740209883243343,0.6316935212127062,21:31:03
